,book_title,book_image,book_price,book_availability,book_rating
472,Left Behind (Left Behind #1),left-behind-left-behind-1_529/index.html,40.72,In stock,Two
473,Kill 'Em and Leave: Searching for James Brown and the American Soul,kill-em-and-leave-searching-for-james-brown-and-the-american-soul_528/index.html,45.05,In stock,Five
474,Kierkegaard: A Christian Missionary to Christians,kierkegaard-a-christian-missionary-to-christians_527/index.html,47.13,In stock,One
475,John Vassos: Industrial Design for Modern Life,john-vassos-industrial-design-for-modern-life_526/index.html,20.22,In stock,Four
476,I'll Give You the Sun,ill-give-you-the-sun_525/index.html,56.48,In stock,One
477,I Will Find You,i-will-find-you_524/index.html,44.21,In stock,One
478,Hystopia: A Novel,hystopia-a-novel_523/index.html,21.96,In stock,Four
479,Howl and Other Poems,howl-and-other-poems_522/index.html,40.45,In stock,Two
480,History of Beauty,history-of-beauty_521/index.html,10.29,In stock,Four
481,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,heaven-is-for-real-a-little-boys-astounding-story-of-his-trip-to-heaven-and-back_520/index.html,52.86,In stock,Two
482,Future Shock (Future Shock #1),future-shock-future-shock-1_519/index.html,55.65,In stock,Five
483,Ender's Game (The Ender Quintet #1),enders-game-the-ender-quintet-1_518/index.html,43.64,In stock,One
484,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html,28.41,In stock,One
485,Death by Leisure: A Cautionary Tale,death-by-leisure-a-cautionary-tale_516/index.html,37.51,In stock,Four
486,Brilliant Beacons: A History of the American Lighthouse,brilliant-beacons-a-history-of-the-american-lighthouse_515/index.html,11.45,In stock,Three
487,Brazen: The Courage to Find the You That's Been Hiding,brazen-the-courage-to-find-the-you-thats-been-hiding_514/index.html,19.22,In stock,Two
488,Between the World and Me,between-the-world-and-me_513/index.html,56.91,In stock,Four
489,Being Mortal: Medicine and What Matters in the End,being-mortal-medicine-and-what-matters-in-the-end_512/index.html,55.06,In stock,Four
490,"A Murder Over a Girl: Justice, Gender, Junior High",a-murder-over-a-girl-justice-gender-junior-high_511/index.html,13.20,In stock,Three
491,32 Yolks,32-yolks_510/index.html,53.63,In stock,Two
492,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",most-blessed-of-the-patriarchs-thomas-jefferson-and-the-empire-of-the-imagination_509/index.html,44.48,In stock,Five
493,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,you-are-a-badass-how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life_508/index.html,12.08,In stock,Three
494,Wildlife of New York: A Five-Borough Coloring Book,wildlife-of-new-york-a-five-borough-coloring-book_507/index.html,22.14,In stock,Two
495,What Happened on Beale Street (Secrets of the South Mysteries #2),what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,25.37,In stock,Five
496,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,unreasonable-hope-finding-faith-in-the-god-who-brings-purpose-to-your-pain_505/index.html,46.33,In stock,Two
497,Under the Tuscan Sun,under-the-tuscan-sun_504/index.html,37.33,In stock,Three
498,Toddlers Are A**holes: It's Not Your Fault,toddlers-are-aholes-its-not-your-fault_503/index.html,25.55,In stock,One
499,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,the-year-of-living-biblically-one-mans-humble-quest-to-follow-the-bible-as-literally-as-possible_502/index.html,34.72,In stock,One
500,The Whale,the-whale_501/index.html,35.96,In stock,Four
501,The Story of Art,the-story-of-art_500/index.html,41.14,In stock,Four
502,The Origin of Species,the-origin-of-species_499/index.html,10.01,In stock,Four
503,The Great Gatsby,the-great-gatsby_498/index.html,36.05,In stock,Four
504,The Good Girl,the-good-girl_497/index.html,49.03,In stock,Three
505,The Glass Castle,the-glass-castle_496/index.html,16.24,In stock,One
506,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,the-faith-of-christopher-hitchens-the-restless-soul-of-the-worlds-most-notorious-atheist_495/index.html,39.55,In stock,One
507,The Drowning Girls,the-drowning-girls_494/index.html,35.67,In stock,Three
508,The Constant Princess (The Tudor Court #1),the-constant-princess-the-tudor-court-1_493/index.html,16.62,In stock,Three
509,The Bourne Identity (Jason Bourne #1),the-bourne-identity-jason-bourne-1_492/index.html,42.78,In stock,Four
510,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,52.30,In stock,Five
511,The Art Book,the-art-book_490/index.html,32.34,In stock,Two
512,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,the-7-habits-of-highly-effective-people-powerful-lessons-in-personal-change_489/index.html,33.17,In stock,Four
513,Team of Rivals: The Political Genius of Abraham Lincoln,team-of-rivals-the-political-genius-of-abraham-lincoln_488/index.html,20.12,In stock,Five
514,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,steal-like-an-artist-10-things-nobody-told-you-about-being-creative_487/index.html,20.90,In stock,Two
515,"Sit, Stay, Love",sit-stay-love_486/index.html,20.90,In stock,Three
516,Sister Dear,sister-dear_485/index.html,40.20,In stock,Four
517,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html,52.87,In stock,Three
518,"Rich Dad, Poor Dad",rich-dad-poor-dad_483/index.html,51.74,In stock,One
519,Raymie Nightingale,raymie-nightingale_482/index.html,34.41,In stock,Two
520,Playing from the Heart,playing-from-the-heart_481/index.html,32.38,In stock,One
521,Nightstruck: A Novel,nightstruck-a-novel_480/index.html,50.35,In stock,Four
522,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html,11.38,In stock,Five
523,Meternity,meternity_478/index.html,43.58,In stock,Three
524,Memoirs of a Geisha,memoirs-of-a-geisha_477/index.html,49.67,In stock,Three
525,Like Never Before (Walker Family #2),like-never-before-walker-family-2_476/index.html,28.77,In stock,Two
526,Life of Pi,life-of-pi_475/index.html,13.22,In stock,Four
527,Leave This Song Behind: Teen Poetry at Its Best,leave-this-song-behind-teen-poetry-at-its-best_474/index.html,51.17,In stock,Five
528,King's Folly (The Kinsman Chronicles #1),kings-folly-the-kinsman-chronicles-1_473/index.html,39.61,In stock,Five
529,John Adams,john-adams_472/index.html,57.43,In stock,Four
530,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),how-to-cook-everything-vegetarian-simple-meatless-recipes-for-great-food-how-to-cook-everything_471/index.html,46.01,In stock,Four
531,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,how-to-be-a-domestic-goddess-baking-and-the-art-of-comfort-cooking_470/index.html,28.25,In stock,Two
532,Good in Bed (Cannie Shapiro #1),good-in-bed-cannie-shapiro-1_469/index.html,37.05,In stock,Five
533,"Fruits Basket, Vol. 7 (Fruits Basket #7)",fruits-basket-vol-7-fruits-basket-7_468/index.html,19.57,In stock,One
534,For the Love: Fighting for Grace in a World of Impossible Standards,for-the-love-fighting-for-grace-in-a-world-of-impossible-standards_467/index.html,45.13,In stock,Three
535,Finding God in the Ruins: How God Redeems Pain,finding-god-in-the-ruins-how-god-redeems-pain_466/index.html,46.64,In stock,Two
536,Every Heart a Doorway (Every Heart A Doorway #1),every-heart-a-doorway-every-heart-a-doorway-1_465/index.html,12.16,In stock,Five
537,Delivering the Truth (Quaker Midwife Mystery #1),delivering-the-truth-quaker-midwife-mystery-1_464/index.html,20.89,In stock,Four
538,Counted With the Stars (Out from Egypt #1),counted-with-the-stars-out-from-egypt-1_463/index.html,17.97,In stock,Five
539,"Chronicles, Vol. 1",chronicles-vol-1_462/index.html,52.60,In stock,Two
540,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,blue-like-jazz-nonreligious-thoughts-on-christian-spirituality_461/index.html,25.77,In stock,One
541,Benjamin Franklin: An American Life,benjamin-franklin-an-american-life_460/index.html,48.19,In stock,Three
542,"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,29.93,In stock,Five
543,A Summer In Europe,a-summer-in-europe_458/index.html,44.34,In stock,Two
544,A Short History of Nearly Everything,a-short-history-of-nearly-everything_457/index.html,52.40,In stock,Five
545,A Gathering of Shadows (Shades of Magic #2),a-gathering-of-shadows-shades-of-magic-2_456/index.html,44.81,In stock,Four
546,The Sound Of Love,the-sound-of-love_455/index.html,57.84,In stock,Five
547,The Rise and Fall of the Third Reich: A History of Nazi Germany,the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html,39.67,In stock,Two
548,The Perks of Being a Wallflower,the-perks-of-being-a-wallflower_453/index.html,55.02,In stock,Three
549,The Mysterious Affair at Styles (Hercule Poirot #1),the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,24.80,In stock,Four
550,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,the-man-who-mistook-his-wife-for-a-hat-and-other-clinical-tales_451/index.html,59.45,In stock,Four
551,The Makings of a Fatherless Child,the-makings-of-a-fatherless-child_450/index.html,31.58,In stock,Two
552,The Joy of Cooking,the-joy-of-cooking_449/index.html,43.27,In stock,Four
553,The Invention of Wings,the-invention-of-wings_448/index.html,37.34,In stock,One
554,The Hobbit (Middle-Earth Universe),the-hobbit-middle-earth-universe_447/index.html,17.80,In stock,Five
555,The Great Railway Bazaar,the-great-railway-bazaar_446/index.html,30.54,In stock,One
556,The Golden Compass (His Dark Materials #1),the-golden-compass-his-dark-materials-1_445/index.html,18.77,In stock,One
557,The God Delusion,the-god-delusion_444/index.html,46.85,In stock,Three
558,The Girl You Left Behind (The Girl You Left Behind #1),the-girl-you-left-behind-the-girl-you-left-behind-1_443/index.html,15.79,In stock,One
559,The Fellowship of the Ring (The Lord of the Rings #1),the-fellowship-of-the-ring-the-lord-of-the-rings-1_442/index.html,10.27,In stock,Two
560,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,15.42,In stock,Five
561,The Barefoot Contessa Cookbook,the-barefoot-contessa-cookbook_440/index.html,59.92,In stock,Five
562,Tell the Wolves I'm Home,tell-the-wolves-im-home_439/index.html,50.96,In stock,Two
563,Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,ship-leaves-harbor-essays-on-travel-by-a-recovering-journeyman_438/index.html,30.60,In stock,Three
564,Pride and Prejudice,pride-and-prejudice_437/index.html,19.27,In stock,Four
565,Musicophilia: Tales of Music and the Brain,musicophilia-tales-of-music-and-the-brain_436/index.html,46.58,In stock,One
566,Mere Christianity,mere-christianity_435/index.html,48.51,In stock,Three
567,Me Before You (Me Before You #1),me-before-you-me-before-you-1_434/index.html,19.02,In stock,One
568,In the Woods (Dublin Murder Squad #1),in-the-woods-dublin-murder-squad-1_433/index.html,38.38,In stock,Two
569,In Cold Blood,in-cold-blood_432/index.html,49.98,In stock,Four
570,How to Stop Worrying and Start Living,how-to-stop-worrying-and-start-living_431/index.html,46.49,In stock,Five
571,Give It Back,give-it-back_430/index.html,18.32,In stock,Two
572,"Girl, Interrupted",girl-interrupted_429/index.html,42.14,In stock,Three
573,Fun Home: A Family Tragicomic,fun-home-a-family-tragicomic_428/index.html,56.59,In stock,Four
574,"Fruits Basket, Vol. 6 (Fruits Basket #6)",fruits-basket-vol-6-fruits-basket-6_427/index.html,20.96,In stock,Four
575,Deception Point,deception-point_426/index.html,40.32,In stock,Four
576,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",death-note-vol-6-give-and-take-death-note-6_425/index.html,36.39,In stock,Three
577,Catherine the Great: Portrait of a Woman,catherine-the-great-portrait-of-a-woman_424/index.html,58.55,In stock,Four
578,Better Homes and Gardens New Cook Book,better-homes-and-gardens-new-cook-book_423/index.html,39.61,In stock,Three
579,An Unquiet Mind: A Memoir of Moods and Madness,an-unquiet-mind-a-memoir-of-moods-and-madness_422/index.html,21.30,In stock,Three
580,A Year in Provence (Provence #1),a-year-in-provence-provence-1_421/index.html,56.88,In stock,Four
581,World Without End (The Pillars of the Earth #2),world-without-end-the-pillars-of-the-earth-2_420/index.html,32.97,In stock,Four
582,"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",will-grayson-will-grayson-will-grayson-will-grayson_419/index.html,47.31,In stock,Four
583,Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,why-save-the-bankers-and-other-essays-on-our-economic-and-political-crisis_418/index.html,48.67,In stock,Two
584,Where She Went (If I Stay #2),where-she-went-if-i-stay-2_417/index.html,41.73,In stock,Four
585,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,what-if-serious-scientific-answers-to-absurd-hypothetical-questions_416/index.html,53.68,In stock,Four
586,Two Summers,two-summers_415/index.html,14.64,In stock,One
587,This Is Your Brain on Music: The Science of a Human Obsession,this-is-your-brain-on-music-the-science-of-a-human-obsession_414/index.html,38.40,In stock,One
588,The Secret Garden,the-secret-garden_413/index.html,15.08,In stock,Four
589,The Raven King (The Raven Cycle #4),the-raven-king-the-raven-cycle-4_412/index.html,30.57,In stock,Two
590,The Raven Boys (The Raven Cycle #1),the-raven-boys-the-raven-cycle-1_411/index.html,57.74,In stock,Four
591,The Power Greens Cookbook: 140 Delicious Superfood Recipes,the-power-greens-cookbook-140-delicious-superfood-recipes_410/index.html,11.05,In stock,Five
592,The Metamorphosis,the-metamorphosis_409/index.html,28.58,In stock,One
593,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,the-mathews-men-seven-brothers-and-the-war-against-hitlers-u-boats_408/index.html,42.91,In stock,Five
594,The Little Paris Bookshop,the-little-paris-bookshop_407/index.html,24.73,In stock,Three
595,The Hiding Place,the-hiding-place_406/index.html,55.91,In stock,Four
596,The Grand Design,the-grand-design_405/index.html,13.76,In stock,Three
597,The Firm,the-firm_404/index.html,45.56,In stock,Three
598,The Fault in Our Stars,the-fault-in-our-stars_403/index.html,47.22,In stock,One
599,The False Prince (The Ascendance Trilogy #1),the-false-prince-the-ascendance-trilogy-1_402/index.html,56.00,In stock,Five
600,The Expatriates,the-expatriates_401/index.html,44.58,In stock,Two
601,The Dream Thieves (The Raven Cycle #2),the-dream-thieves-the-raven-cycle-2_400/index.html,34.50,In stock,One
602,The Darkest Corners,the-darkest-corners_399/index.html,11.33,In stock,Five
603,The Crossover,the-crossover_398/index.html,38.77,In stock,Four
604,The 5th Wave (The 5th Wave #1),the-5th-wave-the-5th-wave-1_397/index.html,11.83,In stock,Two
605,Tell the Wind and Fire,tell-the-wind-and-fire_396/index.html,45.51,In stock,Three
606,Tell Me Three Things,tell-me-three-things_395/index.html,41.81,In stock,One
607,Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,talking-to-girls-about-duran-duran-one-young-mans-quest-for-true-love-and-a-cooler-haircut_394/index.html,25.15,In stock,Four
608,Siddhartha,siddhartha_393/index.html,34.22,In stock,Five
609,Shiver (The Wolves of Mercy Falls #1),shiver-the-wolves-of-mercy-falls-1_392/index.html,16.23,In stock,Five
610,Remember Me?,remember-me_391/index.html,11.48,In stock,Three
611,Red Dragon (Hannibal Lecter #1),red-dragon-hannibal-lecter-1_390/index.html,23.37,In stock,Three
612,Peak: Secrets from the New Science of Expertise,peak-secrets-from-the-new-science-of-expertise_389/index.html,16.28,In stock,Two
613,My Mother Was Nuts,my-mother-was-nuts_388/index.html,31.63,In stock,Four
614,Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,mexican-today-new-and-rediscovered-recipes-for-contemporary-kitchens_387/index.html,24.91,In stock,Five
615,Maybe Something Beautiful: How Art Transformed a Neighborhood,maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html,22.54,In stock,One
616,Lola and the Boy Next Door (Anna and the French Kiss #2),lola-and-the-boy-next-door-anna-and-the-french-kiss-2_385/index.html,23.63,In stock,Four
617,Logan Kade (Fallen Crest High #5.5),logan-kade-fallen-crest-high-55_384/index.html,13.12,In stock,Two
618,Last One Home (New Beginnings #1),last-one-home-new-beginnings-1_383/index.html,59.98,In stock,Three
619,Killing Floor (Jack Reacher #1),killing-floor-jack-reacher-1_382/index.html,31.49,In stock,Four
620,Kill the Boy Band,kill-the-boy-band_381/index.html,15.52,In stock,Five
621,Isla and the Happily Ever After (Anna and the French Kiss #3),isla-and-the-happily-ever-after-anna-and-the-french-kiss-3_380/index.html,48.13,In stock,Five
622,If I Stay (If I Stay #1),if-i-stay-if-i-stay-1_379/index.html,38.13,In stock,Five
623,I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),i-know-why-the-caged-bird-sings-maya-angelous-autobiography-1_378/index.html,36.55,In stock,Two
624,Harry Potter and the Deathly Hallows (Harry Potter #7),harry-potter-and-the-deathly-hallows-harry-potter-7_377/index.html,23.32,In stock,One
625,"Fruits Basket, Vol. 5 (Fruits Basket #5)",fruits-basket-vol-5-fruits-basket-5_376/index.html,16.33,In stock,One
626,Foundation (Foundation (Publication Order) #1),foundation-foundation-publication-order-1_375/index.html,32.42,In stock,One
627,Fool Me Once,fool-me-once_374/index.html,16.96,In stock,One
628,Find Her (Detective D.D. Warren #8),find-her-detective-dd-warren-8_373/index.html,22.37,In stock,One
629,Evicted: Poverty and Profit in the American City,evicted-poverty-and-profit-in-the-american-city_372/index.html,42.27,In stock,One
630,Drama,drama_371/index.html,38.70,In stock,Two
631,Dracula the Un-Dead,dracula-the-un-dead_370/index.html,35.63,In stock,Five
632,Digital Fortress,digital-fortress_369/index.html,58.00,In stock,Five
633,"Death Note, Vol. 5: Whiteout (Death Note #5)",death-note-vol-5-whiteout-death-note-5_368/index.html,52.41,In stock,One
634,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",data-a-love-story-how-i-gamed-online-dating-to-meet-my-match_367/index.html,32.35,In stock,Three
635,Critique of Pure Reason,critique-of-pure-reason_366/index.html,20.75,In stock,One
636,Booked,booked_365/index.html,17.49,In stock,Five
637,"Blue Lily, Lily Blue (The Raven Cycle #3)",blue-lily-lily-blue-the-raven-cycle-3_364/index.html,34.13,In stock,Five
638,Approval Junkie: Adventures in Caring Too Much,approval-junkie-adventures-in-caring-too-much_363/index.html,58.81,In stock,Five
639,An Abundance of Katherines,an-abundance-of-katherines_362/index.html,10.00,In stock,Five
640,America's War for the Greater Middle East: A Military History,americas-war-for-the-greater-middle-east-a-military-history_361/index.html,51.22,In stock,Two
641,Alight (The Generations Trilogy #2),alight-the-generations-trilogy-2_360/index.html,58.59,In stock,Four
642,A Girl's Guide to Moving On (New Beginnings #2),a-girls-guide-to-moving-on-new-beginnings-2_359/index.html,31.30,In stock,One
643,A Game of Thrones (A Song of Ice and Fire #1),a-game-of-thrones-a-song-of-ice-and-fire-1_358/index.html,46.42,In stock,Two
644,A Feast for Crows (A Song of Ice and Fire #4),a-feast-for-crows-a-song-of-ice-and-fire-4_357/index.html,17.21,In stock,Four
645,A Clash of Kings (A Song of Ice and Fire #2),a-clash-of-kings-a-song-of-ice-and-fire-2_356/index.html,10.79,In stock,Three
646,Vogue Colors A to Z: A Fashion Coloring Book,vogue-colors-a-to-z-a-fashion-coloring-book_355/index.html,52.35,In stock,Four
647,The Shining (The Shining #1),the-shining-the-shining-1_354/index.html,27.88,In stock,Three
648,The Pilgrim's Progress,the-pilgrims-progress_353/index.html,50.26,In stock,Two
649,The Perfect Play (Play by Play #1),the-perfect-play-play-by-play-1_352/index.html,59.99,In stock,Three
650,The Passion of Dolssa,the-passion-of-dolssa_351/index.html,28.32,In stock,Five
651,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,the-jazz-of-physics-the-secret-link-between-music-and-the-structure-of-the-universe_350/index.html,38.71,In stock,Three
652,The Hunger Games (The Hunger Games #1),the-hunger-games-the-hunger-games-1_349/index.html,29.85,In stock,Five
653,The Hound of the Baskervilles (Sherlock Holmes #5),the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,14.82,In stock,Two
654,The Gunning of America: Business and the Making of American Gun Culture,the-gunning-of-america-business-and-the-making-of-american-gun-culture_347/index.html,16.81,In stock,Four
655,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,the-geography-of-bliss-one-grumps-search-for-the-happiest-places-in-the-world_346/index.html,28.23,In stock,Two
656,The Demonists (Demonist #1),the-demonists-demonist-1_345/index.html,52.11,In stock,Two
657,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html,27.88,In stock,Two
658,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html,59.71,In stock,Three
659,The Beast (Black Dagger Brotherhood #14),the-beast-black-dagger-brotherhood-14_342/index.html,46.08,In stock,Five
660,Some Women,some-women_341/index.html,13.73,In stock,Five
661,Shopaholic Ties the Knot (Shopaholic #3),shopaholic-ties-the-knot-shopaholic-3_340/index.html,48.39,In stock,Five
662,Paper and Fire (The Great Library #2),paper-and-fire-the-great-library-2_339/index.html,49.45,In stock,Five
663,Outlander (Outlander #1),outlander-outlander-1_338/index.html,19.67,In stock,Five
664,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",orchestra-of-exiles-the-story-of-bronislaw-huberman-the-israel-philharmonic-and-the-one-thousand-jews-he-saved-from-nazi-horrors_337/index.html,12.36,In stock,Three
665,No One Here Gets Out Alive,no-one-here-gets-out-alive_336/index.html,20.02,In stock,Five
666,Night Shift (Night Shift #1-20),night-shift-night-shift-1-20_335/index.html,12.75,In stock,Four
667,Needful Things,needful-things_334/index.html,47.51,In stock,Four
668,Mockingjay (The Hunger Games #3),mockingjay-the-hunger-games-3_333/index.html,20.44,In stock,Four
669,Misery,misery_332/index.html,34.79,In stock,Two
670,Little Women (Little Women #1),little-women-little-women-1_331/index.html,28.07,In stock,Four
671,It,it_330/index.html,25.01,In stock,Three
672,Harry Potter and the Sorcerer's Stone (Harry Potter #1),harry-potter-and-the-sorcerers-stone-harry-potter-1_329/index.html,13.90,In stock,Three
673,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),harry-potter-and-the-prisoner-of-azkaban-harry-potter-3_328/index.html,24.17,In stock,Four
674,Harry Potter and the Order of the Phoenix (Harry Potter #5),harry-potter-and-the-order-of-the-phoenix-harry-potter-5_327/index.html,31.63,In stock,Four
675,Harry Potter and the Half-Blood Prince (Harry Potter #6),harry-potter-and-the-half-blood-prince-harry-potter-6_326/index.html,48.75,In stock,Five
676,Harry Potter and the Chamber of Secrets (Harry Potter #2),harry-potter-and-the-chamber-of-secrets-harry-potter-2_325/index.html,14.74,In stock,One
677,Gone with the Wind,gone-with-the-wind_324/index.html,32.49,In stock,Three
678,God Is Not Great: How Religion Poisons Everything,god-is-not-great-how-religion-poisons-everything_323/index.html,27.80,In stock,One
679,Girl With a Pearl Earring,girl-with-a-pearl-earring_322/index.html,26.77,In stock,One
680,"Fruits Basket, Vol. 4 (Fruits Basket #4)",fruits-basket-vol-4-fruits-basket-4_321/index.html,50.44,In stock,Four
681,Far From True (Promise Falls Trilogy #2),far-from-true-promise-falls-trilogy-2_320/index.html,34.93,In stock,Two
682,Dark Lover (Black Dagger Brotherhood #1),dark-lover-black-dagger-brotherhood-1_319/index.html,12.87,In stock,One
683,Confessions of a Shopaholic (Shopaholic #1),confessions-of-a-shopaholic-shopaholic-1_318/index.html,48.94,In stock,Two
684,Changing the Game (Play by Play #2),changing-the-game-play-by-play-2_317/index.html,13.38,In stock,Three
685,Candide,candide_316/index.html,58.63,In stock,Three
686,Can You Keep a Secret?,can-you-keep-a-secret_315/index.html,21.94,In stock,One
687,Atlas Shrugged,atlas-shrugged_314/index.html,26.58,In stock,Five
688,Animal Farm,animal-farm_313/index.html,57.22,In stock,Three
689,A Walk to Remember,a-walk-to-remember_312/index.html,56.43,In stock,One
690,A New Earth: Awakening to Your Life's Purpose,a-new-earth-awakening-to-your-lifes-purpose_311/index.html,55.65,In stock,Five
691,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html,27.62,In stock,One
692,'Salem's Lot,salems-lot_309/index.html,49.56,In stock,Four
693,Zero History (Blue Ant #3),zero-history-blue-ant-3_308/index.html,34.77,In stock,One
694,Wuthering Heights,wuthering-heights_307/index.html,17.73,In stock,Three
695,World War Z: An Oral History of the Zombie War,world-war-z-an-oral-history-of-the-zombie-war_306/index.html,21.80,In stock,One
696,Wild: From Lost to Found on the Pacific Crest Trail,wild-from-lost-to-found-on-the-pacific-crest-trail_305/index.html,46.02,In stock,Three
697,"Where'd You Go, Bernadette",whered-you-go-bernadette_304/index.html,18.13,In stock,One
698,When You Are Engulfed in Flames,when-you-are-engulfed-in-flames_303/index.html,30.89,In stock,Five
699,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,we-the-people-the-modern-day-figures-who-have-reshaped-and-affirmed-the-founding-fathers-vision-of-america_302/index.html,31.95,In stock,Three
700,We Are All Completely Beside Ourselves,we-are-all-completely-beside-ourselves_301/index.html,24.04,In stock,One
701,Walk the Edge (Thunder Road #2),walk-the-edge-thunder-road-2_300/index.html,32.36,In stock,Three
702,Voyager (Outlander #3),voyager-outlander-3_299/index.html,21.07,In stock,Five
703,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,very-good-lives-the-fringe-benefits-of-failure-and-the-importance-of-imagination_298/index.html,50.66,In stock,Three
704,Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,vegan-vegetarian-omnivore-dinner-for-everyone-at-the-table_297/index.html,13.66,In stock,Two
705,"Unstuffed: Decluttering Your Home, Mind, and Soul",unstuffed-decluttering-your-home-mind-and-soul_296/index.html,58.09,In stock,One
706,Under the Banner of Heaven: A Story of Violent Faith,under-the-banner-of-heaven-a-story-of-violent-faith_295/index.html,30.00,In stock,One
707,Two Boys Kissing,two-boys-kissing_294/index.html,32.74,In stock,Two
708,Twilight (Twilight #1),twilight-twilight-1_293/index.html,41.93,In stock,Two
709,Twenties Girl,twenties-girl_292/index.html,42.80,In stock,Two
710,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",trespassing-across-america-one-mans-epic-never-done-before-and-sort-of-illegal-hike-across-the-heartland_291/index.html,53.51,In stock,One
711,Three-Martini Lunch,three-martini-lunch_290/index.html,23.21,In stock,Three
712,"Thinking, Fast and Slow",thinking-fast-and-slow_289/index.html,21.14,In stock,One
713,The Wild Robot,the-wild-robot_288/index.html,56.07,In stock,Three
714,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html,14.41,In stock,Three
715,The Undomestic Goddess,the-undomestic-goddess_286/index.html,45.75,In stock,Four
716,The Travelers,the-travelers_285/index.html,15.77,In stock,One
717,The Tipping Point: How Little Things Can Make a Big Difference,the-tipping-point-how-little-things-can-make-a-big-difference_284/index.html,10.02,In stock,Two
718,The Thing About Jellyfish,the-thing-about-jellyfish_283/index.html,48.77,In stock,One
719,The Stand,the-stand_282/index.html,57.86,In stock,Two
